tick,time_sec,spike_count_total,epg_spike_count,driver_spike_count,stim_afferent_spike_count,spike_ids
65,0.065000,14,0,0,1,720575940609341809|720575940609713710|720575940612724195|720575940612943539|720575940614363363|720575940614570415|720575940617500443|720575940623889421|720575940626051514|720575940629225463|720575940630202267|720575940631365260|720575940632102564|720575940636360811
66,0.066000,21,0,0,3,720575940606756030|720575940612358642|720575940613771798|720575940616507865|720575940616661465|720575940618089541|720575940618649936|720575940620124143|720575940625673964|720575940625691372|720575940627826760|720575940628644239|720575940628796780|720575940629041879|720575940632380216|720575940632875746|720575940637308605|720575940642876320|720575940646350702|720575940647081860|720575940647291427
67,0.067000,15,0,0,2,720575940613636325|720575940618398533|720575940619922512|720575940620802836|720575940621814911|720575940622361270|720575940623122125|720575940623302988|720575940623673821|720575940623758377|720575940628522540|720575940629393207|720575940632317997|720575940634748385|720575940636411534
68,0.068000,12,0,0,2,720575940604735660|720575940613863731|720575940616861697|720575940619548799|720575940621716835|720575940621775130|720575940622303446|720575940624163303|720575940625563623|720575940631180599|720575940631844300|720575940640486488
69,0.069000,21,0,0,0,720575940608140380|720575940612677142|720575940613635737|720575940613693382|720575940618445497|720575940621777390|720575940622057057|720575940622516852|720575940622995082|720575940624112152|720575940624130253|720575940624816115|720575940625436170|720575940626162890|720575940627458570|720575940628494695|720575940630046524|720575940632722515|720575940633800860|720575940641585627|720575940643112333
70,0.070000,22,0,0,0,720575940603012832|720575940605494560|720575940606421122|720575940613081250|720575940615084339|720575940617812696|720575940619245016|720575940619676224|720575940621024545|720575940623164515|720575940623772564|720575940624250405|720575940624986919|720575940631043139|720575940631532396|720575940632126860|720575940634274458|720575940635831438|720575940636360811|720575940639209956|720575940644791918|720575940645834275
71,0.071000,12,0,0,2,720575940609343089|720575940612358642|720575940613193642|720575940618355870|720575940618635072|720575940622416628|720575940626555440|720575940627614199|720575940627706398|720575940632440220|720575940637535077|720575940638403928
72,0.072000,12,0,0,4,720575940609713710|720575940614392682|720575940619155995|720575940623758377|720575940628644239|720575940631520312|720575940632875746|720575940634139799|720575940640652752|720575940640788725|720575940646183220|720575940655842465
73,0.073000,12,0,0,3,720575940611206514|720575940615526978|720575940615792523|720575940620061793|720575940622303446|720575940623276988|720575940623302988|720575940623444044|720575940626768442|720575940631189817|720575940631319084|720575940634257890
74,0.074000,16,0,0,1,720575940606391218|720575940614137907|720575940617672920|720575940622183194|720575940623530378|720575940624876889|720575940629229020|720575940631313721|720575940631844300|720575940632307025|720575940632962786|720575940633116256|720575940635771316|720575940637308605|720575940639432782|720575940647755641
75,0.075000,22,0,0,0,720575940610621026|720575940611563310|720575940612308963|720575940614456332|720575940615948610|720575940617054237|720575940620096238|720575940621116807|720575940624313406|720575940628238217|720575940629630679|720575940629821740|720575940630372982|720575940630931999|720575940631714119|720575940635170484|720575940635464343|720575940635540671|720575940637586751|720575940639082318|720575940644751652|720575940647081860
76,0.076000,12,0,0,0,720575940605780140|720575940607982428|720575940614958120|720575940620943969|720575940622147873|720575940622158369|720575940627044885|720575940627189071|720575940629263888|720575940631207388|720575940635271822|720575940644306592
77,0.077000,25,0,0,3,720575940605807206|720575940608188427|720575940609713710|720575940611811704|720575940612358642|720575940612868757|720575940614562271|720575940617755220|720575940618332757|720575940619559815|720575940622416628|720575940622584069|720575940623358099|720575940624619036|720575940625666964|720575940626500745|720575940628346634|720575940628861660|720575940631306284|720575940634428058|720575940636360811|720575940639092201|720575940639134835|720575940640436814|720575940643576224
78,0.078000,14,0,0,2,720575940620537153|720575940621814911|720575940623618708|720575940625558730|720575940626662277|720575940626768442|720575940627924227|720575940628120337|720575940628375306|720575940628644239|720575940628834151|720575940635776760|720575940635970190|720575940636411534
79,0.079000,16,0,0,4,720575940610439363|720575940612766515|720575940614441834|720575940615296766|720575940616821597|720575940622303446|720575940622945037|720575940623302988|720575940623553260|720575940623758377|720575940624402173|720575940628197392|720575940628339611|720575940631309866|720575940632189900|720575940632875746
80,0.080000,11,0,0,1,720575940615043368|720575940616823862|720575940621519130|720575940624163303|720575940626044942|720575940627820806|720575940628357714|720575940630006636|720575940631844300|720575940633984851|720575940637210334
81,0.081000,20,0,0,0,720575940606421122|720575940611516586|720575940612943539|720575940616861697|720575940618936710|720575940619549598|720575940619701231|720575940621367572|720575940624113993|720575940624130253|720575940624342825|720575940624885250|720575940625345511|720575940626051514|720575940626537008|720575940627351543|720575940627514567|720575940632126860|720575940632539788|720575940632777320
82,0.082000,22,0,0,1,720575940606756030|720575940611563310|720575940613537686|720575940613915823|720575940617013554|720575940617110028|720575940619548799|720575940621393172|720575940622416628|720575940625186250|720575940625935544|720575940626039996|720575940627053861|720575940627493148|720575940627826760|720575940628342171|720575940628796780|720575940629426025|720575940630098284|720575940633170969|720575940636360811|720575940639179891
