tick,time_sec,epg_spike_count,epg_spike_ids
375,0.375000,1,720575940633719487
376,0.376000,0,
377,0.377000,0,
378,0.378000,1,720575940631708836
379,0.379000,1,720575940642634532
380,0.380000,3,720575940604801993|720575940620282906|720575940627140551
381,0.381000,0,
382,0.382000,0,
383,0.383000,1,720575940616569601
384,0.384000,0,
385,0.385000,0,
386,0.386000,0,
387,0.387000,0,
388,0.388000,0,
389,0.389000,0,
390,0.390000,0,
391,0.391000,0,
392,0.392000,0,
393,0.393000,0,
394,0.394000,1,720575940628802041
395,0.395000,0,
396,0.396000,0,
397,0.397000,0,
398,0.398000,0,
399,0.399000,0,
400,0.400000,0,
401,0.401000,0,
402,0.402000,0,
403,0.403000,0,
404,0.404000,0,
405,0.405000,0,
406,0.406000,0,
407,0.407000,0,
408,0.408000,0,
409,0.409000,0,
410,0.410000,0,
411,0.411000,0,
412,0.412000,0,
413,0.413000,1,720575940610453427
414,0.414000,1,720575940619296365
415,0.415000,0,
416,0.416000,2,720575940628843458|720575940632844002
417,0.417000,1,720575940636730694
418,0.418000,0,
419,0.419000,0,
420,0.420000,3,720575940627140551|720575940631125036|720575940638850512
421,0.421000,0,
422,0.422000,2,720575940613836438|720575940625351354
423,0.423000,0,
424,0.424000,0,
425,0.425000,0,
426,0.426000,0,
427,0.427000,0,
428,0.428000,0,
429,0.429000,0,
430,0.430000,0,
431,0.431000,0,
432,0.432000,0,
433,0.433000,0,
434,0.434000,0,
435,0.435000,1,720575940642634532
436,0.436000,0,
437,0.437000,0,
438,0.438000,0,
439,0.439000,0,
440,0.440000,0,
441,0.441000,1,720575940613829900
442,0.442000,0,
443,0.443000,0,
444,0.444000,0,
445,0.445000,0,
446,0.446000,0,
447,0.447000,0,
448,0.448000,0,
449,0.449000,0,
450,0.450000,0,
451,0.451000,0,
452,0.452000,0,
453,0.453000,1,720575940628802041
454,0.454000,0,
455,0.455000,0,
456,0.456000,0,
457,0.457000,0,
458,0.458000,0,
459,0.459000,0,
460,0.460000,0,
461,0.461000,0,
462,0.462000,0,
463,0.463000,1,720575940610453427
464,0.464000,0,
465,0.465000,1,720575940628843458
466,0.466000,1,720575940627140551
467,0.467000,0,
468,0.468000,0,
469,0.469000,0,
470,0.470000,1,720575940619296365
471,0.471000,1,720575940613836438
472,0.472000,1,720575940631708836
473,0.473000,0,
474,0.474000,0,
475,0.475000,1,720575940632844002
476,0.476000,0,
477,0.477000,0,
478,0.478000,0,
479,0.479000,0,
480,0.480000,0,
481,0.481000,0,
482,0.482000,0,
483,0.483000,0,
484,0.484000,1,720575940642634532
485,0.485000,0,
486,0.486000,0,
487,0.487000,0,
488,0.488000,0,
489,0.489000,2,720575940604801993|720575940636730694
490,0.490000,1,720575940623046548
491,0.491000,0,
492,0.492000,3,720575940616569601|720575940631125036|720575940633719487
493,0.493000,1,720575940638850512
494,0.494000,0,
495,0.495000,0,
496,0.496000,0,
497,0.497000,0,
498,0.498000,0,
499,0.499000,0,
500,0.500000,0,
501,0.501000,0,
502,0.502000,0,
503,0.503000,0,
504,0.504000,0,
505,0.505000,0,
506,0.506000,0,
507,0.507000,0,
508,0.508000,1,720575940628843458
509,0.509000,0,
510,0.510000,1,720575940627140551
511,0.511000,0,
512,0.512000,0,
513,0.513000,0,
514,0.514000,0,
515,0.515000,0,
516,0.516000,0,
517,0.517000,0,
518,0.518000,0,
519,0.519000,0,
520,0.520000,0,
521,0.521000,0,
522,0.522000,0,
523,0.523000,0,
524,0.524000,0,
525,0.525000,0,
526,0.526000,0,
527,0.527000,1,720575940610453427
528,0.528000,0,
529,0.529000,0,
530,0.530000,0,
531,0.531000,1,720575940642634532
532,0.532000,1,720575940628802041
533,0.533000,2,720575940613829900|720575940619296365
534,0.534000,0,
535,0.535000,2,720575940613836438|720575940625351354
536,0.536000,0,
537,0.537000,0,
538,0.538000,1,720575940632844002
539,0.539000,0,
540,0.540000,0,
541,0.541000,0,
542,0.542000,0,
543,0.543000,0,
544,0.544000,0,
545,0.545000,0,
546,0.546000,0,
547,0.547000,0,
548,0.548000,0,
549,0.549000,0,
550,0.550000,1,720575940627140551
551,0.551000,0,
552,0.552000,0,
553,0.553000,0,
554,0.554000,1,720575940628843458
555,0.555000,0,
556,0.556000,0,
557,0.557000,0,
558,0.558000,2,720575940631125036|720575940638850512
559,0.559000,1,720575940636730694
560,0.560000,3,720575940631708836|720575940633719487|720575940635461550
561,0.561000,1,720575940620020694
562,0.562000,2,720575940604801993|720575940608722371
563,0.563000,0,
564,0.564000,1,720575940620282906
565,0.565000,0,
566,0.566000,2,720575940610453427|720575940623046548
567,0.567000,0,
568,0.568000,0,
569,0.569000,0,
570,0.570000,0,
571,0.571000,0,
572,0.572000,0,
573,0.573000,0,
574,0.574000,0,
575,0.575000,0,
576,0.576000,0,
577,0.577000,0,
578,0.578000,0,
579,0.579000,0,
580,0.580000,0,
581,0.581000,0,
582,0.582000,0,
583,0.583000,0,
584,0.584000,0,
585,0.585000,0,
586,0.586000,0,
587,0.587000,0,
588,0.588000,1,720575940628802041
589,0.589000,1,720575940642634532
590,0.590000,2,720575940613829900|720575940627140551
591,0.591000,0,
592,0.592000,1,720575940628843458
593,0.593000,1,720575940616569601
594,0.594000,0,
595,0.595000,0,
596,0.596000,0,
597,0.597000,0,
598,0.598000,0,
599,0.599000,0,
600,0.600000,0,
601,0.601000,0,
602,0.602000,0,
603,0.603000,0,
604,0.604000,0,
605,0.605000,0,
606,0.606000,0,
607,0.607000,0,
608,0.608000,0,
609,0.609000,0,
610,0.610000,0,
611,0.611000,0,
612,0.612000,0,
613,0.613000,0,
614,0.614000,1,720575940619296365
615,0.615000,1,720575940613836438
616,0.616000,0,
617,0.617000,2,720575940610453427|720575940632844002
618,0.618000,0,
619,0.619000,2,720575940625351354|720575940638850512
620,0.620000,1,720575940636730694
621,0.621000,0,
622,0.622000,0,
623,0.623000,2,720575940604801993|720575940627140551
624,0.624000,0,
625,0.625000,1,720575940631125036
626,0.626000,0,
627,0.627000,1,720575940628843458
628,0.628000,0,
629,0.629000,0,
630,0.630000,0,
631,0.631000,0,
632,0.632000,0,
633,0.633000,0,
634,0.634000,0,
635,0.635000,0,
636,0.636000,0,
637,0.637000,0,
638,0.638000,0,
639,0.639000,0,
640,0.640000,0,
641,0.641000,0,
642,0.642000,0,
643,0.643000,0,
644,0.644000,0,
645,0.645000,1,720575940642634532
646,0.646000,0,
647,0.647000,0,
648,0.648000,0,
649,0.649000,0,
650,0.650000,0,
651,0.651000,0,
652,0.652000,1,720575940628802041
653,0.653000,0,
654,0.654000,0,
655,0.655000,0,
656,0.656000,0,
657,0.657000,0,
658,0.658000,0,
659,0.659000,0,
660,0.660000,0,
661,0.661000,1,720575940613829900
662,0.662000,1,720575940628843458
663,0.663000,0,
664,0.664000,0,
665,0.665000,1,720575940627140551
666,0.666000,0,
667,0.667000,0,
668,0.668000,2,720575940610453427|720575940631708836
669,0.669000,1,720575940613836438
670,0.670000,0,
671,0.671000,0,
672,0.672000,0,
673,0.673000,0,
674,0.674000,2,720575940631125036|720575940633719487
675,0.675000,0,
676,0.676000,0,
677,0.677000,0,
678,0.678000,0,
679,0.679000,0,
680,0.680000,0,
681,0.681000,0,
682,0.682000,0,
683,0.683000,0,
684,0.684000,0,
685,0.685000,0,
686,0.686000,0,
687,0.687000,0,
688,0.688000,0,
689,0.689000,0,
690,0.690000,0,
691,0.691000,0,
692,0.692000,0,
693,0.693000,0,
694,0.694000,0,
695,0.695000,0,
696,0.696000,0,
697,0.697000,1,720575940619296365
698,0.698000,1,720575940642634532
699,0.699000,2,720575940636730694|720575940638850512
700,0.700000,1,720575940628843458
701,0.701000,0,
702,0.702000,1,720575940625351354
703,0.703000,4,720575940616569601|720575940620020694|720575940623046548|720575940632844002
704,0.704000,1,720575940628802041
705,0.705000,1,720575940620282906
706,0.706000,1,720575940627140551
707,0.707000,0,
708,0.708000,0,
709,0.709000,0,
710,0.710000,0,
711,0.711000,0,
712,0.712000,0,
713,0.713000,1,720575940610453427
714,0.714000,0,
715,0.715000,0,
716,0.716000,0,
717,0.717000,0,
718,0.718000,0,
719,0.719000,0,
720,0.720000,0,
721,0.721000,0,
722,0.722000,0,
723,0.723000,0,
724,0.724000,0,
725,0.725000,0,
726,0.726000,0,
727,0.727000,0,
728,0.728000,0,
729,0.729000,0,
730,0.730000,0,
731,0.731000,0,
732,0.732000,0,
733,0.733000,0,
734,0.734000,0,
735,0.735000,0,
736,0.736000,0,
737,0.737000,0,
738,0.738000,2,720575940613829900|720575940613836438
739,0.739000,1,720575940628843458
740,0.740000,0,
741,0.741000,2,720575940604801993|720575940627140551
742,0.742000,0,
743,0.743000,0,
744,0.744000,2,720575940631125036|720575940631708836
745,0.745000,1,720575940642634532
746,0.746000,0,
747,0.747000,0,
748,0.748000,0,
749,0.749000,0,
750,0.750000,0,
751,0.751000,1,720575940619296365
752,0.752000,0,
753,0.753000,0,
754,0.754000,0,
755,0.755000,0,
756,0.756000,0,
757,0.757000,0,
758,0.758000,1,720575940628802041
759,0.759000,0,
760,0.760000,0,
761,0.761000,0,
762,0.762000,0,
763,0.763000,0,
764,0.764000,0,
765,0.765000,0,
766,0.766000,0,
767,0.767000,0,
768,0.768000,0,
769,0.769000,0,
770,0.770000,0,
771,0.771000,1,720575940610453427
772,0.772000,0,
773,0.773000,1,720575940636730694
774,0.774000,0,
775,0.775000,2,720575940628843458|720575940633719487
776,0.776000,1,720575940632844002
777,0.777000,1,720575940638850512
778,0.778000,1,720575940625351354
779,0.779000,0,
780,0.780000,0,
781,0.781000,1,720575940627140551
782,0.782000,0,
783,0.783000,0,
784,0.784000,0,
785,0.785000,0,
786,0.786000,0,
787,0.787000,0,
788,0.788000,0,
789,0.789000,0,
790,0.790000,0,
791,0.791000,0,
792,0.792000,0,
793,0.793000,0,
794,0.794000,0,
795,0.795000,0,
796,0.796000,0,
797,0.797000,1,720575940642634532
798,0.798000,0,
799,0.799000,0,
800,0.800000,0,
801,0.801000,0,
802,0.802000,0,
803,0.803000,0,
804,0.804000,0,
805,0.805000,0,
806,0.806000,0,
807,0.807000,0,
808,0.808000,0,
809,0.809000,0,
810,0.810000,0,
811,0.811000,1,720575940613836438
812,0.812000,2,720575940613829900|720575940628843458
813,0.813000,2,720575940620020694|720575940628802041
814,0.814000,2,720575940610453427|720575940631125036
815,0.815000,0,
816,0.816000,0,
817,0.817000,1,720575940619296365
818,0.818000,1,720575940627140551
819,0.819000,0,
820,0.820000,1,720575940631708836
821,0.821000,2,720575940620282906|720575940635461550
822,0.822000,0,
823,0.823000,0,
824,0.824000,0,
825,0.825000,0,
826,0.826000,0,
827,0.827000,0,
828,0.828000,0,
829,0.829000,0,
830,0.830000,0,
831,0.831000,0,
832,0.832000,0,
833,0.833000,0,
834,0.834000,0,
835,0.835000,0,
836,0.836000,0,
837,0.837000,0,
838,0.838000,0,
839,0.839000,1,720575940623046548
840,0.840000,0,
841,0.841000,0,
842,0.842000,0,
843,0.843000,0,
844,0.844000,0,
845,0.845000,0,
846,0.846000,0,
847,0.847000,1,720575940642634532
848,0.848000,0,
849,0.849000,0,
850,0.850000,1,720575940636730694
851,0.851000,1,720575940632844002
852,0.852000,1,720575940627140551
853,0.853000,0,
854,0.854000,0,
855,0.855000,0,
856,0.856000,0,
857,0.857000,1,720575940628843458
858,0.858000,0,
859,0.859000,0,
860,0.860000,0,
861,0.861000,0,
862,0.862000,0,
863,0.863000,0,
864,0.864000,0,
865,0.865000,0,
866,0.866000,0,
867,0.867000,0,
